IMDb_ID,Year,Title,Genres,Production Companies,Director,Cast,Budget,Revenue,Rating
tt0014183,1923,The Homeland,['Drama'],['Nikkatsu-Mukôjima'],Kenji Mizoguchi,"['Kaichi Yamamoto', 'Takeo Kokuri', 'Kōmei Minami', 'Hosaku Yoshida', 'Kichiji Nakamura', 'Kasuke Koizumi', 'Fumio Miyajima', 'Genichi Fujii', 'Junichi Kitamura', 'Masujirô Takagi', 'Shuho Tamiya', 'Rokuro Uesugi', 'Ichiro Kikusawa']",0,0,0.0
tt0014332,1923,One Arabian Night,['Comedy'],['Stoll Picture Productions'],Sinclair Hill,"['George Robey', 'Lionelle Howard', 'Aubrey Fitzgerald', 'Julia Kean']",0,0,0.0
,1923,The Traveling Saleman,[],[],,[],0,0,0.0
,1923,Asta Nielsen crying caricature,[],[],,[],0,0,0.0
tt0014945,1924,Girl Shy,"['Comedy', 'Romance', 'Action']",['The Harold Lloyd Corporation'],Sam Taylor,"['Harold Lloyd', 'Jobyna Ralston', 'Richard Daniels', 'Carlton Griffin', 'Ethel Broadhurst', 'Sammy Brooks', 'Billy Butts', 'Joe Cobb', 'Jackie Condon', 'Mickey Daniels', 'Andy De Villa', 'Dorothy Dorr', 'Betsy Ann Hisle']",400000,1550000,7.0
tt0015400,1924,The Thief of Bagdad,"['Romance', 'Adventure', 'Fantasy']",['Douglas Fairbanks Pictures'],Raoul Walsh,"['Douglas Fairbanks', 'Snitz Edwards', 'Charles Belcher', 'Julanne Johnston', 'Sôjin Kamiyama', 'Anna May Wong', 'Brandon Hurst', 'Tote Du Crow', 'Noble Johnson', 'Sam Baker', 'Laska Winter', 'Etta Lee', 'Mathilde Comont', 'Charles Stevens', 'Eugene Jackson', 'Jesse Lasky Jr.', 'David Sharpe', 'Paul Malvern', 'Scotty Mattraw', 'Jess Weldon', 'K. Nambu']",1135654,1490419,7.4
tt0014972,1924,He Who Gets Slapped,"['Drama', 'Romance', 'Thriller']",['Metro-Goldwyn-Mayer'],Victor Sjöström,"['Lon Chaney', 'Norma Shearer', 'John Gilbert', 'Ruth King', 'Marc McDermott', 'Ford Sterling', 'Tully Marshall', 'Edward Arnold', 'Paulette Duval', 'Brandon Hurst', 'Toby Wing', 'Pierre Watkin']",172000,881000,7.7
tt0015289,1924,Romola,"['Drama', 'History']","['Inspiration Pictures', 'Metro-Goldwyn-Mayer']",Henry King,"['Lillian Gish', 'Dorothy Gish', 'William Powell', 'Ronald Colman', 'Charles Lane', 'Herbert Grimwood', 'Bonaventura Ibáñez', 'Frank Puglia', 'Amelia Summerville', 'Tina Ceccaci Renaldi', 'Eduilio Mucci', 'Angela Scatigna', 'Ugo Uccellini', 'Alfredo Martinelli', 'Attilo Deodati', 'Gastone Barnardi', 'Alfredo Bertone', 'Pietro Betti', 'Gino Borsi', 'Toto Lo Bue', 'Ferdinando Chianese', 'Francesco Ciancamerla', 'Baron Alfredo Del Judici', 'Carlo Duse', 'Alfredo Fossi', 'Marchese Fabrizio Gonzaga', 'Marchese Imperiale', 'Baron Serge Kopfe', 'Enrico Monti', 'Pietro Nistri', 'Princess Bianca Raffaello', 'Thelma Raye', 'Rinaldo Rinaldi', 'Princess Isabella Romanoff', 'Giovanni Salvini', 'Prince Alexander Talone', 'Countess Tamburini', 'Countess Tolombi', 'Baron Giuseppe Winspere', 'Giuseppe Zocchi']",0,497234,6.0
tt0014702,1924,Beau Brummel,['Drama'],['Warner Bros. Pictures'],Harry Beaumont,"['John Barrymore', 'Mary Astor', 'Willard Louis', 'Carmel Myers', 'Irene Rich', 'Alec B. Francis', 'Richard Tucker', 'George Beranger', 'William Humphrey', 'Clarissa Selwynne', 'John J. Richardson', 'Claire de Lorez', 'Michael Dark', 'Templar Saxe', 'James A. Marcus']",343000,495000,6.8
tt0015881,1924,Greed,"['Drama', 'Crime']",['Metro-Goldwyn-Mayer'],Erich von Stroheim,"['Gibson Gowland', 'Zasu Pitts', 'Jean Hersholt', 'Dale Fuller', 'Tempe Pigott', 'Sylvia Ashton', 'Chester Conklin', 'Joan Standing', 'Jack Curtis', 'James F. Fulton', 'Florence Gibson', 'Cesare Gravina', 'Frank Hayes', 'Austen Jewell', 'Tiny Jones', 'Lillian Lawrence', 'Hughie Mack', 'Jack McDonald', 'Fanny Midgley', 'Lon Poff', 'S.S. Simon', 'Erich von Ritzau', 'Erich von Stroheim', 'James Wang']",665603,274827,7.6
